YEAR,MO,DY,HR,T2M
2017,1,31,17,0.44
2017,1,31,18,0.43
2017,1,31,19,0.41
2017,1,31,20,0.26
2017,1,31,21,0.12
2017,1,31,22,-0.24
2017,1,31,23,-0.9
2017,2,1,0,-1.23
2017,2,1,1,-1.54
2017,2,1,2,-1.74
2017,2,1,3,-1.5
2017,2,1,4,-1.0
2017,2,1,5,-0.62
2017,2,1,6,-0.55
2017,2,1,7,-0.43
2017,2,1,8,-0.22
2017,2,1,9,0.45
2017,2,1,10,1.19
2017,2,1,11,1.74
2017,2,1,12,2.03
2017,2,1,13,2.14
2017,2,1,14,1.96
2017,2,1,15,1.45
2017,2,1,16,0.59
2017,2,1,17,0.26
2017,2,1,18,0.07
2017,2,1,19,-0.24
2017,2,1,20,-0.61
2017,2,1,21,-1.07
2017,2,1,22,-1.37
2017,2,1,23,-1.3
2017,2,2,0,-1.12
2017,2,2,1,-1.02
2017,2,2,2,-0.97
2017,2,2,3,-1.02
2017,2,2,4,-1.08
2017,2,2,5,-1.12
2017,2,2,6,-1.16
2017,2,2,7,-1.19
2017,2,2,8,-1.13
2017,2,2,9,-0.63
2017,2,2,10,0.11
2017,2,2,11,0.79
2017,2,2,12,1.17
2017,2,2,13,1.32
2017,2,2,14,1.22
2017,2,2,15,0.92
2017,2,2,16,0.57
2017,2,2,17,0.35
2017,2,2,18,0.26
2017,2,2,19,0.25
2017,2,2,20,0.17
2017,2,2,21,0.09
2017,2,2,22,0.06
2017,2,2,23,0.1
2017,2,3,0,0.23
2017,2,3,1,0.42
2017,2,3,2,0.58
2017,2,3,3,0.7
2017,2,3,4,0.81
2017,2,3,5,0.84
2017,2,3,6,0.91
2017,2,3,7,0.98
2017,2,3,8,1.08
2017,2,3,9,1.35
2017,2,3,10,1.69
2017,2,3,11,2.04
2017,2,3,12,2.34
2017,2,3,13,2.52
2017,2,3,14,2.52
2017,2,3,15,2.31
2017,2,3,16,1.99
2017,2,3,17,1.74
2017,2,3,18,1.55
2017,2,3,19,1.39
2017,2,3,20,1.24
2017,2,3,21,1.14
2017,2,3,22,1.11
2017,2,3,23,1.14
2017,2,4,0,1.22
2017,2,4,1,1.27
2017,2,4,2,1.25
2017,2,4,3,1.18
2017,2,4,4,1.06
2017,2,4,5,0.87
2017,2,4,6,0.58
2017,2,4,7,0.51
2017,2,4,8,0.72
2017,2,4,9,1.43
2017,2,4,10,2.24
2017,2,4,11,2.78
2017,2,4,12,2.95
2017,2,4,13,2.89
2017,2,4,14,2.59
2017,2,4,15,2.2
2017,2,4,16,1.84
2017,2,4,17,1.61
2017,2,4,18,1.45
2017,2,4,19,1.4
2017,2,4,20,1.33
2017,2,4,21,1.11
2017,2,4,22,0.95
2017,2,4,23,0.78
2017,2,5,0,0.91
2017,2,5,1,1.1
2017,2,5,2,1.27
2017,2,5,3,1.38
2017,2,5,4,1.43
2017,2,5,5,1.44
2017,2,5,6,1.44
2017,2,5,7,1.49
2017,2,5,8,1.69
2017,2,5,9,2.09
2017,2,5,10,2.58
2017,2,5,11,2.99
2017,2,5,12,3.19
2017,2,5,13,3.2
2017,2,5,14,2.99
2017,2,5,15,2.58
2017,2,5,16,2.09
2017,2,5,17,1.73
2017,2,5,18,1.4
2017,2,5,19,0.95
2017,2,5,20,0.64
2017,2,5,21,0.56
2017,2,5,22,0.5
2017,2,5,23,0.47
2017,2,6,0,0.44
2017,2,6,1,0.43
2017,2,6,2,0.45
2017,2,6,3,0.51
2017,2,6,4,0.61
2017,2,6,5,0.51
2017,2,6,6,0.29
2017,2,6,7,0.12
2017,2,6,8,0.14
2017,2,6,9,0.58
2017,2,6,10,1.2
2017,2,6,11,1.81
2017,2,6,12,2.16
2017,2,6,13,2.17
2017,2,6,14,1.89
2017,2,6,15,1.21
2017,2,6,16,-0.38
2017,2,6,17,-1.17
2017,2,6,18,-1.28
2017,2,6,19,-1.2
2017,2,6,20,-0.97
2017,2,6,21,-0.91
2017,2,6,22,-1.1
2017,2,6,23,-1.48
2017,2,7,0,-1.7
2017,2,7,1,-1.93
2017,2,7,2,-2.19
2017,2,7,3,-2.43
2017,2,7,4,-2.87
2017,2,7,5,-3.07
2017,2,7,6,-3.11
2017,2,7,7,-3.08
2017,2,7,8,-2.74
2017,2,7,9,-1.81
2017,2,7,10,-1.0
2017,2,7,11,-0.69
2017,2,7,12,-0.75
2017,2,7,13,-0.95
2017,2,7,14,-1.24
2017,2,7,15,-1.58
2017,2,7,16,-2.1
2017,2,7,17,-2.5
2017,2,7,18,-2.71
2017,2,7,19,-2.82
2017,2,7,20,-2.87
2017,2,7,21,-2.96
2017,2,7,22,-3.01
2017,2,7,23,-3.01
2017,2,8,0,-3.06
2017,2,8,1,-3.12
2017,2,8,2,-3.13
2017,2,8,3,-3.01
2017,2,8,4,-2.88
2017,2,8,5,-2.85
2017,2,8,6,-2.84
2017,2,8,7,-2.76
2017,2,8,8,-2.56
2017,2,8,9,-2.12
2017,2,8,10,-1.71
2017,2,8,11,-1.43
2017,2,8,12,-1.27
2017,2,8,13,-1.24
2017,2,8,14,-1.4
2017,2,8,15,-1.73
2017,2,8,16,-2.21
2017,2,8,17,-2.53
2017,2,8,18,-2.58
2017,2,8,19,-2.53
2017,2,8,20,-2.55
2017,2,8,21,-2.65
2017,2,8,22,-2.68
2017,2,8,23,-2.67
2017,2,9,0,-2.73
2017,2,9,1,-2.8
2017,2,9,2,-2.92
2017,2,9,3,-2.97
2017,2,9,4,-3.0
2017,2,9,5,-2.97
2017,2,9,6,-2.99
2017,2,9,7,-3.09
2017,2,9,8,-2.91
2017,2,9,9,-2.07
2017,2,9,10,-1.42
2017,2,9,11,-1.06
2017,2,9,12,-0.86
2017,2,9,13,-0.83
2017,2,9,14,-0.96
2017,2,9,15,-1.4
2017,2,9,16,-2.37
2017,2,9,17,-3.13
2017,2,9,18,-3.23
2017,2,9,19,-3.4
2017,2,9,20,-3.53
2017,2,9,21,-3.54
2017,2,9,22,-3.35
2017,2,9,23,-3.3
2017,2,10,0,-3.26
2017,2,10,1,-3.22
2017,2,10,2,-3.2
2017,2,10,3,-3.13
2017,2,10,4,-3.07
2017,2,10,5,-3.03
2017,2,10,6,-3.13
2017,2,10,7,-3.05
2017,2,10,8,-2.56
2017,2,10,9,-1.75
2017,2,10,10,-0.9
2017,2,10,11,-0.31
2017,2,10,12,0.06
2017,2,10,13,0.28
2017,2,10,14,0.26
2017,2,10,15,-0.02
2017,2,10,16,-0.64
2017,2,10,17,-1.22
2017,2,10,18,-1.46
2017,2,10,19,-1.5
2017,2,10,20,-1.51
2017,2,10,21,-1.82
2017,2,10,22,-1.78
2017,2,10,23,-1.5
2017,2,11,0,-1.33
2017,2,11,1,-1.03
2017,2,11,2,-0.85
2017,2,11,3,-1.1
2017,2,11,4,-1.53
2017,2,11,5,-2.15
2017,2,11,6,-2.49
2017,2,11,7,-2.57
2017,2,11,8,-2.13
2017,2,11,9,-1.05
2017,2,11,10,0.13
2017,2,11,11,0.95
2017,2,11,12,1.26
2017,2,11,13,1.19
2017,2,11,14,0.76
2017,2,11,15,0.07
2017,2,11,16,-0.82
2017,2,11,17,-1.4
2017,2,11,18,-1.41
2017,2,11,19,-1.38
2017,2,11,20,-1.45
2017,2,11,21,-1.45
2017,2,11,22,-1.41
2017,2,11,23,-1.31
2017,2,12,0,-1.23
2017,2,12,1,-1.17
2017,2,12,2,-1.18
2017,2,12,3,-1.25
2017,2,12,4,-1.29
2017,2,12,5,-1.3
2017,2,12,6,-1.32
2017,2,12,7,-1.33
2017,2,12,8,-1.09
2017,2,12,9,-0.41
2017,2,12,10,0.25
2017,2,12,11,0.66
2017,2,12,12,0.92
2017,2,12,13,1.03
2017,2,12,14,0.97
2017,2,12,15,0.56
2017,2,12,16,-0.68
2017,2,12,17,-2.14
2017,2,12,18,-2.49
2017,2,12,19,-2.89
2017,2,12,20,-3.32
2017,2,12,21,-3.72
2017,2,12,22,-4.08
2017,2,12,23,-4.41
2017,2,13,0,-4.67
2017,2,13,1,-4.86
2017,2,13,2,-4.99
2017,2,13,3,-5.04
2017,2,13,4,-5.03
2017,2,13,5,-4.97
2017,2,13,6,-4.85
2017,2,13,7,-4.87
